worker_id,entity,country,site,department,job_level,role,gender,contract_type,work_model,fte,weekly_hours,performance_rating,base_pay,bonus,commission,shift_allowance,car_allowance
W00001,PL · Kraków,PL,Krakow,Customer Service,L2,Customer Service L2,F,Permanent,Hybrid,1.0,40,3,24050,0,0,0,0
W00002,PL · Kraków,PL,Krakow,Sales,L1,Sales L1,M,Permanent,Hybrid,1.0,40,3,21800,0,3760,0,0
W00003,ES · Barcelona,ES,Barcelona,Customer Service,L2,Customer Service L2,M,Permanent,Hybrid,1.0,40,2,29450,0,0,0,0
W00004,PL · Kraków,PL,Krakow,Customer Service,L2,Customer Service L2,M,Permanent,Remote,1.0,40,3,26550,0,0,0,0
W00005,DE · Munich,DE,Munich,Operations,L1,Operations L1,M,Permanent,Hybrid,1.0,40,3,41350,0,0,0,0
W00006,PL · Kraków,PL,Krakow,Customer Service,L6,Customer Service L6,M,Permanent,Onsite,1.0,40,3,77250,16730,0,0,4200
W00007,IT · Milan,IT,Milan,Finance,L3,Finance L3,M,Permanent,Hybrid,1.0,40,4,42650,2390,0,0,0
W00008,PL · Kraków,PL,Krakow,Customer Service,L3,Customer Service L3,M,Permanent,Remote,1.0,40,3,31200,1430,0,0,0
W00009,DE · Munich,DE,Munich,HR,L2,HR L2,F,Permanent,Onsite,1.0,40,3,44900,0,0,0,0
W00010,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,F,Permanent,Hybrid,1.0,40,3,18550,0,0,0,0
W00011,DE · Munich,DE,Munich,Finance,L3,Finance L3,F,Permanent,Onsite,1.0,40,2,69750,1670,0,0,0
W00013,IT · Milan,IT,Milan,Operations,L1,Operations L1,F,Permanent,Onsite,1.0,40,3,28100,0,0,1320,0
W00014,IT · Milan,IT,Milan,Operations,L1,Operations L1,F,Permanent,Onsite,1.0,40,2,25550,0,0,1320,0
W00015,PL · Kraków,PL,Krakow,Operations,L3,Operations L3,M,Permanent,Hybrid,1.0,40,1,34300,0,0,0,0
W00016,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Fixed-term,Onsite,1.0,40,4,15550,0,0,840,0
W00017,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Permanent,Remote,1.0,40,3,18550,0,0,0,0
W00018,IT · Milan,IT,Milan,HR,L1,HR L1,F,Permanent,Remote,1.0,40,2,23050,0,0,0,0
W00020,ES · Barcelona,ES,Barcelona,Sales,L4,Sales L4,M,Fixed-term,Remote,1.0,40,4,54850,5830,9240,0,0
W00021,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,M,Permanent,Remote,1.0,40,5,17850,0,0,0,0
W00022,DE · Munich,DE,Munich,Operations,L3,Operations L3,M,Permanent,Onsite,1.0,40,3,60050,3100,0,1800,0
W00023,PL · Kraków,PL,Krakow,Tech,L1,Tech L1,M,Permanent,Remote,0.8,32,3,22480,0,0,0,0
W00025,IT · Milan,IT,Milan,Operations,L4,Operations L4,F,Permanent,Onsite,1.0,40,3,49050,3740,0,0,0
W00027,ES · Barcelona,ES,Barcelona,Operations,L4,Operations L4,M,Permanent,Onsite,1.0,40,2,53400,2270,0,0,0
W00028,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,M,Permanent,Hybrid,1.0,40,1,19600,0,0,0,0
W00029,ES · Barcelona,ES,Barcelona,Customer Service,L2,Customer Service L2,M,Permanent,Hybrid,1.0,40,3,27900,0,0,0,0
W00030,PL · Kraków,PL,Krakow,Customer Service,L3,Customer Service L3,F,Permanent,Hybrid,1.0,40,3,32050,1530,0,0,0
W00031,ES · Barcelona,ES,Barcelona,Operations,L4,Operations L4,M,Permanent,Hybrid,1.0,40,4,55850,4890,0,0,0
W00032,IT · Milan,IT,Milan,HR,L2,HR L2,F,Permanent,Onsite,1.0,40,4,30000,0,0,0,0
W00033,PL · Kraków,PL,Krakow,Finance,L1,Finance L1,M,Permanent,Hybrid,1.0,40,3,22300,0,0,0,0
W00035,IT · Milan,IT,Milan,Operations,L3,Operations L3,M,Permanent,Hybrid,1.0,40,3,42800,2180,0,0,0
W00036,DE · Munich,DE,Munich,Operations,L3,Operations L3,M,Permanent,Onsite,1.0,40,3,64350,3200,0,1800,0
W00037,PL · Kraków,PL,Krakow,Operations,L2,Operations L2,F,Permanent,Hybrid,1.0,40,3,23750,0,0,0,0
W00038,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Permanent,Hybrid,1.0,40,3,21500,0,0,0,0
W00039,IT · Milan,IT,Milan,Finance,L1,Finance L1,F,Permanent,Remote,1.0,40,4,31400,0,0,0,0
W00040,PL · Kraków,PL,Krakow,Operations,L2,Operations L2,M,Permanent,Onsite,1.0,40,2,25400,0,0,840,0
W00041,PL · Kraków,PL,Krakow,Tech,L2,Tech L2,F,Permanent,Onsite,1.0,40,3,25050,0,0,0,0
W00042,IT · Milan,IT,Milan,Customer Service,L2,Customer Service L2,M,Permanent,Onsite,0.8,32,4,25960,0,0,1056,0
W00043,IT · Milan,IT,Milan,Tech,L4,Tech L4,M,Permanent,Remote,1.0,40,3,65050,5570,0,0,0
W00044,PL · Kraków,PL,Krakow,Operations,L3,Operations L3,M,Permanent,Hybrid,1.0,40,2,34100,810,0,0,0
W00045,IT · Milan,IT,Milan,Finance,L2,Finance L2,F,Permanent,Remote,1.0,40,2,34050,0,0,0,0
W00046,IT · Milan,IT,Milan,Tech,L2,Tech L2,F,Fixed-term,Hybrid,1.0,40,3,39350,0,0,0,0
W00047,IT · Milan,IT,Milan,Tech,L3,Tech L3,F,Permanent,Hybrid,1.0,40,5,45000,3660,0,0,0
W00048,PL · Kraków,PL,Krakow,Tech,L2,Tech L2,F,Permanent,Hybrid,1.0,40,5,34850,0,0,0,0
W00049,ES · Barcelona,ES,Barcelona,Customer Service,L5,Customer Service L5,F,Permanent,Hybrid,1.0,40,5,62050,11650,0,0,5400
W00050,ES · Barcelona,ES,Barcelona,Finance,L4,Finance L4,F,Permanent,Onsite,1.0,40,3,54000,4610,0,0,0
W00051,DE · Munich,DE,Munich,Customer Service,L1,Customer Service L1,F,Permanent,Onsite,1.0,40,2,31700,0,0,1800,0
W00053,PL · Kraków,PL,Krakow,HR,L4,HR L4,F,Permanent,Hybrid,1.0,40,4,52850,5910,0,0,0
W00054,ES · Barcelona,ES,Barcelona,Customer Service,L4,Customer Service L4,M,Permanent,Hybrid,0.8,32,3,32080,2560,0,0,0
W00055,PL · Kraków,PL,Krakow,Customer Service,L4,Customer Service L4,F,Fixed-term,Remote,1.0,40,4,38100,3920,0,0,0
W00057,IT · Milan,IT,Milan,Operations,L3,Operations L3,F,Permanent,Hybrid,1.0,40,3,37050,1960,0,0,0
W00058,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,M,Permanent,Remote,1.0,40,4,16650,0,0,0,0
W00059,DE · Munich,DE,Munich,Customer Service,L2,Customer Service L2,F,Permanent,Hybrid,1.0,40,4,41600,0,0,0,0
