employer,code,item_key,item,kind,value
IT · Milan,IT,workers,Workers at the snapshot,count,1053.0
PL · Kraków,PL,workers,Workers at the snapshot,count,1156.0
DE · Munich,DE,workers,Workers at the snapshot,count,741.0
ES · Barcelona,ES,workers,Workers at the snapshot,count,493.0
Group,Group,workers,Workers at the snapshot,count,3443.0
IT · Milan,IT,women,Women,count,523.0
PL · Kraków,PL,women,Women,count,578.0
DE · Munich,DE,women,Women,count,363.0
ES · Barcelona,ES,women,Women,count,253.0
Group,Group,women,Women,count,1717.0
IT · Milan,IT,men,Men,count,530.0
PL · Kraków,PL,men,Men,count,578.0
DE · Munich,DE,men,Men,count,378.0
ES · Barcelona,ES,men,Men,count,240.0
Group,Group,men,Men,count,1726.0
IT · Milan,IT,a_mean_gap_hourly,"(a) Gender pay gap, mean hourly pay",pct,0.196902
PL · Kraków,PL,a_mean_gap_hourly,"(a) Gender pay gap, mean hourly pay",pct,0.151699
DE · Munich,DE,a_mean_gap_hourly,"(a) Gender pay gap, mean hourly pay",pct,0.145427
ES · Barcelona,ES,a_mean_gap_hourly,"(a) Gender pay gap, mean hourly pay",pct,0.215173
Group,Group,a_mean_gap_hourly,"(a) Gender pay gap, mean hourly pay",pct,0.175595
IT · Milan,IT,a_mean_gap_annual,"(a) Gender pay gap, mean annual pay",pct,0.203683
PL · Kraków,PL,a_mean_gap_annual,"(a) Gender pay gap, mean annual pay",pct,0.150985
DE · Munich,DE,a_mean_gap_annual,"(a) Gender pay gap, mean annual pay",pct,0.150427
ES · Barcelona,ES,a_mean_gap_annual,"(a) Gender pay gap, mean annual pay",pct,0.216459
Group,Group,a_mean_gap_annual,"(a) Gender pay gap, mean annual pay",pct,0.17915
IT · Milan,IT,b_mean_gap_components,"(b) Gap in complementary or variable components, mean",pct,0.355081
PL · Kraków,PL,b_mean_gap_components,"(b) Gap in complementary or variable components, mean",pct,0.209817
DE · Munich,DE,b_mean_gap_components,"(b) Gap in complementary or variable components, mean",pct,0.258821
ES · Barcelona,ES,b_mean_gap_components,"(b) Gap in complementary or variable components, mean",pct,0.462543
Group,Group,b_mean_gap_components,"(b) Gap in complementary or variable components, mean",pct,0.310965
IT · Milan,IT,c_median_gap_hourly,"(c) Median gender pay gap, hourly pay",pct,0.168512
PL · Kraków,PL,c_median_gap_hourly,"(c) Median gender pay gap, hourly pay",pct,0.125058
DE · Munich,DE,c_median_gap_hourly,"(c) Median gender pay gap, hourly pay",pct,0.113266
ES · Barcelona,ES,c_median_gap_hourly,"(c) Median gender pay gap, hourly pay",pct,0.189017
Group,Group,c_median_gap_hourly,"(c) Median gender pay gap, hourly pay",pct,0.155599
IT · Milan,IT,c_median_gap_annual,"(c) Median gender pay gap, annual pay",pct,0.19719
PL · Kraków,PL,c_median_gap_annual,"(c) Median gender pay gap, annual pay",pct,0.136683
