employer,country,category,women,men,hourly_base_women,hourly_base_men,hourly_components_women,hourly_components_men,hourly_total_women,hourly_total_men,annual_total_women,annual_total_men,gap_base,gap_components,gap_hourly,gap_annual,small_cell,status,remedy_cost
IT · Milan,IT,Cat A,72,55,13.337006,14.203671,0.513638,0.235817,13.850644,14.439489,27797.083333,29394.0,0.061017,-1.17812,0.04078,0.054328,0,Justify or remedy,85245.807576
IT · Milan,IT,Cat B,147,106,13.665457,14.841709,0.129513,0.059869,13.79497,14.901578,28136.884354,30717.264151,0.079253,-1.163265,0.074261,0.084004,0,Justify or remedy,331911.716083
IT · Milan,IT,Cat C,108,93,14.440883,14.785205,0.493534,0.630893,14.934417,15.416098,30553.907407,31661.032258,0.023288,0.217722,0.031245,0.034968,0,Below 5%,0.0
IT · Milan,IT,Cat D,115,118,19.710702,20.399079,1.478125,1.501314,21.188827,21.900393,43048.886957,45101.152542,0.033745,0.015446,0.032491,0.045504,0,Below 5%,0.0
IT · Milan,IT,Cat E,48,82,26.071715,26.88526,2.670473,2.735709,28.742188,29.620969,59243.75,60515.731707,0.03026,0.023846,0.029668,0.021019,0,Below 5%,0.0
IT · Milan,IT,Cat F,26,56,37.236501,38.231885,8.222263,7.883113,45.458765,46.114998,91645.0,94554.464286,0.026035,-0.043022,0.01423,0.03077,0,Below 5%,0.0
IT · Milan,IT,Cat G,7,20,45.934066,49.084135,10.080357,13.476923,56.014423,62.561058,116510.0,130127.0,0.064177,0.252028,0.104644,0.104644,0,Justify or remedy,95319.0
PL · Kraków,PL,Cat A,84,60,11.085451,11.138622,0.348901,0.439603,11.434352,11.578225,23507.619048,23599.0,0.004774,0.206328,0.012426,0.003872,0,Below 5%,0.0
PL · Kraków,PL,Cat B,147,112,11.018936,11.42063,0.065934,0.09375,11.08487,11.51438,22601.55102,23594.553571,0.035173,0.296703,0.037302,0.042086,0,Below 5%,0.0
PL · Kraków,PL,Cat C,127,116,11.805913,12.107717,0.500274,0.443986,12.306188,12.551703,25272.377953,25612.0,0.024927,-0.126779,0.01956,0.01326,0,Below 5%,0.0
PL · Kraków,PL,Cat D,125,133,15.907692,16.98489,1.181731,1.134868,17.089423,18.119759,34907.808,37168.421053,0.063421,-0.041293,0.056863,0.060821,0,Justify or remedy,262743.783459
PL · Kraków,PL,Cat E,49,87,20.205553,21.828028,1.884615,2.146206,22.090169,23.974235,45288.367347,48979.310345,0.07433,0.121885,0.078587,0.075357,0,Justify or remedy,188888.908632
PL · Kraków,PL,Cat F,37,56,28.529756,30.859804,5.35957,5.967677,33.889326,36.827481,69372.162162,74582.857143,0.075504,0.1019,0.079782,0.069865,0,Justify or remedy,222453.628378
PL · Kraków,PL,Cat G,9,14,42.475962,40.097871,10.916934,12.469093,53.392895,52.566964,106614.444444,108235.714286,-0.059307,0.124481,-0.015712,0.014979,0,Below 5%,0.0
DE · Munich,DE,Cat A,47,45,20.023527,20.924679,0.69507,0.875401,20.718597,21.80008,42725.957447,44082.0,0.043066,0.205998,0.049609,0.030762,0,Below 5%,0.0
DE · Munich,DE,Cat B,94,73,20.60045,20.017123,0.165712,0.118546,20.766162,20.135669,42277.659574,41564.657534,-0.029141,-0.397872,-0.031312,-0.017154,0,Below 5%,0.0
DE · Munich,DE,Cat C,86,67,21.402896,21.473163,0.902616,0.781716,22.305512,22.254879,45423.953488,45660.746269,0.003272,-0.154659,-0.002275,0.005186,0,Below 5%,0.0
DE · Munich,DE,Cat D,70,88,29.232486,30.032233,1.775172,2.38243,31.007658,32.414663,63061.428571,66115.454545,0.02663,0.25489,0.043406,0.046192,0,Below 5%,0.0
DE · Munich,DE,Cat E,47,65,37.390548,39.974112,3.56851,3.61949,40.959058,43.593602,84019.148936,89684.769231,0.064631,0.014085,0.060434,0.063173,0,Justify or remedy,254265.127332
DE · Munich,DE,Cat F,15,28,51.512821,52.590144,10.53109,10.255237,62.04391,62.845381,125683.333333,128307.5,0.020485,-0.026899,0.012753,0.020452,0,Below 5%,0.0
DE · Munich,DE,Cat G,4,12,71.490385,71.55649,17.515625,17.892628,89.00601,89.449119,177045.0,186054.166667,0.000924,0.02107,0.004954,0.048422,1,Below 5%,0.0
ES · Barcelona,ES,Cat A,37,28,13.195166,13.331902,0.481029,0.720295,13.676195,14.052198,28297.837838,28833.214286,0.010256,0.332178,0.026758,0.018568,0,Below 5%,0.0
ES · Barcelona,ES,Cat B,64,48,13.259465,13.991386,0.08113,0.096154,13.340595,14.08754,27270.15625,28855.0,0.052312,0.15625,0.053022,0.054924,0,Justify or remedy,97879.6875
ES · Barcelona,ES,Cat C,59,38,13.789521,14.351594,0.517927,0.504934,14.307448,14.856528,29341.016949,30758.157895,0.039165,-0.025732,0.036959,0.046074,0,Below 5%,0.0
ES · Barcelona,ES,Cat D,56,52,18.982658,20.02635,1.233066,1.693579,20.215724,21.719929,41615.535714,44785.769231,0.052116,0.271917,0.069255,0.070787,0,Justify or remedy,173332.559753
ES · Barcelona,ES,Cat E,28,41,24.795673,25.418621,2.059924,2.865179,26.855598,28.2838,55514.285714,58064.878049,0.024508,0.281049,0.050495,0.043927,0,Justify or remedy,82584.404181
ES · Barcelona,ES,Cat F,5,24,37.543269,35.135216,6.759615,6.986829,44.302885,42.122045,92150.0,86072.916667,-0.068537,0.03252,-0.051774,-0.070604,0,Justify or remedy,107053.041667
ES · Barcelona,ES,Cat G,4,9,50.132212,48.60844,12.52494,15.569979,62.657151,64.178419,123960.0,133491.111111,-0.031348,0.195571,0.023704,0.071399,1,Justify or remedy,12024.097222
