worker_id,entity,country,department,job_level,role,category,points,contract_type,work_model,fte,annual_hours,base_pay,bonus,commission,shift_allowance,car_allowance,components,total_pay,hourly_base,hourly_total,receives_components,quartile,sex
W00001,PL · Kraków,PL,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Hybrid,1.0,2080,24050,0,0,0,0,0,24050,11.5625,11.5625,0,2,Women
W00002,PL · Kraków,PL,Sales,L1,Sales L1,Cat A,145,Permanent,Hybrid,1.0,2080,21800,0,3760,0,0,3760,25560,10.480769,12.288462,1,2,Men
W00003,ES · Barcelona,ES,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Hybrid,1.0,2080,29450,0,0,0,0,0,29450,14.158654,14.158654,0,2,Men
W00004,PL · Kraków,PL,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Remote,1.0,2080,26550,0,0,0,0,0,26550,12.764423,12.764423,0,2,Men
W00005,DE · Munich,DE,Operations,L1,Operations L1,Cat B,190,Permanent,Hybrid,1.0,2080,41350,0,0,0,0,0,41350,19.879808,19.879808,0,1,Men
W00006,PL · Kraków,PL,Customer Service,L6,Customer Service L6,Cat G,410,Permanent,Onsite,1.0,2080,77250,16730,0,0,4200,20930,98180,37.139423,47.201923,1,4,Men
W00007,IT · Milan,IT,Finance,L3,Finance L3,Cat D,255,Permanent,Hybrid,1.0,2080,42650,2390,0,0,0,2390,45040,20.504808,21.653846,1,3,Men
W00008,PL · Kraków,PL,Customer Service,L3,Customer Service L3,Cat D,280,Permanent,Remote,1.0,2080,31200,1430,0,0,0,1430,32630,15.0,15.6875,1,3,Men
W00009,DE · Munich,DE,HR,L2,HR L2,Cat B,185,Permanent,Onsite,1.0,2080,44900,0,0,0,0,0,44900,21.586538,21.586538,0,2,Women
W00010,PL · Kraków,PL,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Hybrid,1.0,2080,18550,0,0,0,0,0,18550,8.918269,8.918269,0,1,Women
W00011,DE · Munich,DE,Finance,L3,Finance L3,Cat D,255,Permanent,Onsite,1.0,2080,69750,1670,0,0,0,1670,71420,33.533654,34.336538,1,3,Women
W00013,IT · Milan,IT,Operations,L1,Operations L1,Cat B,190,Permanent,Onsite,1.0,2080,28100,0,0,1320,0,1320,29420,13.509615,14.144231,1,2,Women
W00014,IT · Milan,IT,Operations,L1,Operations L1,Cat B,190,Permanent,Onsite,1.0,2080,25550,0,0,1320,0,1320,26870,12.283654,12.918269,1,1,Women
W00015,PL · Kraków,PL,Operations,L3,Operations L3,Cat D,295,Permanent,Hybrid,1.0,2080,34300,0,0,0,0,0,34300,16.490385,16.490385,0,3,Men
W00016,PL · Kraków,PL,Operations,L1,Operations L1,Cat B,190,Fixed-term,Onsite,1.0,2080,15550,0,0,840,0,840,16390,7.475962,7.879808,1,1,Women
W00017,IT · Milan,IT,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Remote,1.0,2080,18550,0,0,0,0,0,18550,8.918269,8.918269,0,1,Women
W00018,IT · Milan,IT,HR,L1,HR L1,Cat A,115,Permanent,Remote,1.0,2080,23050,0,0,0,0,0,23050,11.081731,11.081731,0,1,Women
W00020,ES · Barcelona,ES,Sales,L4,Sales L4,Cat E,320,Fixed-term,Remote,1.0,2080,54850,5830,9240,0,0,15070,69920,26.370192,33.615385,1,4,Men
W00021,PL · Kraków,PL,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Remote,1.0,2080,17850,0,0,0,0,0,17850,8.581731,8.581731,0,1,Men
W00022,DE · Munich,DE,Operations,L3,Operations L3,Cat D,295,Permanent,Onsite,1.0,2080,60050,3100,0,1800,0,4900,64950,28.870192,31.225962,1,3,Men
W00023,PL · Kraków,PL,Tech,L1,Tech L1,Cat A,150,Permanent,Remote,0.8,1664,22480,0,0,0,0,0,22480,13.509615,13.509615,0,2,Men
W00025,IT · Milan,IT,Operations,L4,Operations L4,Cat E,335,Permanent,Onsite,1.0,2080,49050,3740,0,0,0,3740,52790,23.581731,25.379808,1,4,Women
W00027,ES · Barcelona,ES,Operations,L4,Operations L4,Cat E,335,Permanent,Onsite,1.0,2080,53400,2270,0,0,0,2270,55670,25.673077,26.764423,1,4,Men
W00028,PL · Kraków,PL,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Hybrid,1.0,2080,19600,0,0,0,0,0,19600,9.423077,9.423077,0,1,Men
W00029,ES · Barcelona,ES,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Hybrid,1.0,2080,27900,0,0,0,0,0,27900,13.413462,13.413462,0,1,Men
W00030,PL · Kraków,PL,Customer Service,L3,Customer Service L3,Cat D,280,Permanent,Hybrid,1.0,2080,32050,1530,0,0,0,1530,33580,15.408654,16.144231,1,3,Women
W00031,ES · Barcelona,ES,Operations,L4,Operations L4,Cat E,335,Permanent,Hybrid,1.0,2080,55850,4890,0,0,0,4890,60740,26.850962,29.201923,1,4,Men
W00032,IT · Milan,IT,HR,L2,HR L2,Cat B,185,Permanent,Onsite,1.0,2080,30000,0,0,0,0,0,30000,14.423077,14.423077,0,2,Women
W00033,PL · Kraków,PL,Finance,L1,Finance L1,Cat A,115,Permanent,Hybrid,1.0,2080,22300,0,0,0,0,0,22300,10.721154,10.721154,0,1,Men
W00035,IT · Milan,IT,Operations,L3,Operations L3,Cat D,295,Permanent,Hybrid,1.0,2080,42800,2180,0,0,0,2180,44980,20.576923,21.625,1,3,Men
W00036,DE · Munich,DE,Operations,L3,Operations L3,Cat D,295,Permanent,Onsite,1.0,2080,64350,3200,0,1800,0,5000,69350,30.9375,33.341346,1,3,Men
W00037,PL · Kraków,PL,Operations,L2,Operations L2,Cat C,225,Permanent,Hybrid,1.0,2080,23750,0,0,0,0,0,23750,11.418269,11.418269,0,2,Women
W00038,IT · Milan,IT,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Hybrid,1.0,2080,21500,0,0,0,0,0,21500,10.336538,10.336538,0,1,Women
W00039,IT · Milan,IT,Finance,L1,Finance L1,Cat A,115,Permanent,Remote,1.0,2080,31400,0,0,0,0,0,31400,15.096154,15.096154,0,2,Women
W00040,PL · Kraków,PL,Operations,L2,Operations L2,Cat C,225,Permanent,Onsite,1.0,2080,25400,0,0,840,0,840,26240,12.211538,12.615385,1,2,Men
W00041,PL · Kraków,PL,Tech,L2,Tech L2,Cat B,185,Permanent,Onsite,1.0,2080,25050,0,0,0,0,0,25050,12.043269,12.043269,0,2,Women
W00042,IT · Milan,IT,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Onsite,0.8,1664,25960,0,0,1056,0,1056,27016,15.600962,16.235577,1,2,Men
W00043,IT · Milan,IT,Tech,L4,Tech L4,Cat E,325,Permanent,Remote,1.0,2080,65050,5570,0,0,0,5570,70620,31.274038,33.951923,1,4,Men
W00044,PL · Kraków,PL,Operations,L3,Operations L3,Cat D,295,Permanent,Hybrid,1.0,2080,34100,810,0,0,0,810,34910,16.394231,16.783654,1,3,Men
W00045,IT · Milan,IT,Finance,L2,Finance L2,Cat B,185,Permanent,Remote,1.0,2080,34050,0,0,0,0,0,34050,16.370192,16.370192,0,2,Women
W00046,IT · Milan,IT,Tech,L2,Tech L2,Cat B,185,Fixed-term,Hybrid,1.0,2080,39350,0,0,0,0,0,39350,18.918269,18.918269,0,3,Women
W00047,IT · Milan,IT,Tech,L3,Tech L3,Cat D,255,Permanent,Hybrid,1.0,2080,45000,3660,0,0,0,3660,48660,21.634615,23.394231,1,3,Women
W00048,PL · Kraków,PL,Tech,L2,Tech L2,Cat B,185,Permanent,Hybrid,1.0,2080,34850,0,0,0,0,0,34850,16.754808,16.754808,0,3,Women
W00049,ES · Barcelona,ES,Customer Service,L5,Customer Service L5,Cat F,340,Permanent,Hybrid,1.0,2080,62050,11650,0,0,5400,17050,79100,29.831731,38.028846,1,4,Women
W00050,ES · Barcelona,ES,Finance,L4,Finance L4,Cat E,325,Permanent,Onsite,1.0,2080,54000,4610,0,0,0,4610,58610,25.961538,28.177885,1,4,Women
W00051,DE · Munich,DE,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Onsite,1.0,2080,31700,0,0,1800,0,1800,33500,15.240385,16.105769,1,1,Women
W00053,PL · Kraków,PL,HR,L4,HR L4,Cat E,325,Permanent,Hybrid,1.0,2080,52850,5910,0,0,0,5910,58760,25.408654,28.25,1,4,Women
W00054,ES · Barcelona,ES,Customer Service,L4,Customer Service L4,Cat E,320,Permanent,Hybrid,0.8,1664,32080,2560,0,0,0,2560,34640,19.278846,20.817308,1,3,Men
W00055,PL · Kraków,PL,Customer Service,L4,Customer Service L4,Cat E,320,Fixed-term,Remote,1.0,2080,38100,3920,0,0,0,3920,42020,18.317308,20.201923,1,4,Women
W00057,IT · Milan,IT,Operations,L3,Operations L3,Cat D,295,Permanent,Hybrid,1.0,2080,37050,1960,0,0,0,1960,39010,17.8125,18.754808,1,3,Women
W00058,PL · Kraków,PL,Operations,L1,Operations L1,Cat B,190,Permanent,Remote,1.0,2080,16650,0,0,0,0,0,16650,8.004808,8.004808,0,1,Men
W00059,DE · Munich,DE,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Hybrid,1.0,2080,41600,0,0,0,0,0,41600,20.0,20.0,0,1,Women
W00061,PL · Kraków,PL,Sales,L1,Sales L1,Cat A,145,Fixed-term,Onsite,1.0,2080,21550,0,4500,0,0,4500,26050,10.360577,12.524038,1,2,Men
W00062,IT · Milan,IT,Operations,L5,Operations L5,Cat F,340,Fixed-term,Remote,1.0,2080,71050,8620,0,0,6000,14620,85670,34.158654,41.1875,1,4,Women
W00063,IT · Milan,IT,Customer Service,L3,Customer Service L3,Cat D,280,Permanent,Onsite,1.0,2080,39750,2450,0,1320,0,3770,43520,19.110577,20.923077,1,3,Men
W00064,IT · Milan,IT,Operations,L2,Operations L2,Cat C,225,Permanent,Hybrid,0.8,1664,21360,0,0,0,0,0,21360,12.836538,12.836538,0,1,Women
W00066,PL · Kraków,PL,Sales,L3,Sales L3,Cat D,285,Permanent,Onsite,1.0,2080,32950,1540,4490,0,0,6030,38980,15.841346,18.740385,1,3,Men
W00067,IT · Milan,IT,Customer Service,L3,Customer Service L3,Cat D,280,Permanent,Hybrid,1.0,2080,40950,2190,0,0,0,2190,43140,19.6875,20.740385,1,3,Women
W00068,PL · Kraków,PL,Tech,L2,Tech L2,Cat B,185,Permanent,Onsite,0.8,1664,26880,0,0,0,0,0,26880,16.153846,16.153846,0,3,Men
W00069,IT · Milan,IT,HR,L3,HR L3,Cat D,255,Permanent,Remote,1.0,2080,43150,2670,0,0,0,2670,45820,20.745192,22.028846,1,3,Men
W00070,ES · Barcelona,ES,Tech,L3,Tech L3,Cat D,255,Permanent,Onsite,1.0,2080,59300,2680,0,0,0,2680,61980,28.509615,29.798077,1,4,Men
W00072,DE · Munich,DE,Tech,L1,Tech L1,Cat A,150,Permanent,Remote,1.0,2080,41350,0,0,0,0,0,41350,19.879808,19.879808,0,1,Men
W00073,PL · Kraków,PL,Sales,L3,Sales L3,Cat D,285,Permanent,Onsite,1.0,2080,30950,1390,2650,0,0,4040,34990,14.879808,16.822115,1,3,Women
W00074,PL · Kraków,PL,Sales,L3,Sales L3,Cat D,285,Fixed-term,Hybrid,1.0,2080,30000,1480,5260,0,0,6740,36740,14.423077,17.663462,1,3,Women
W00075,PL · Kraków,PL,Finance,L2,Finance L2,Cat B,185,Permanent,Hybrid,1.0,2080,30200,0,0,0,0,0,30200,14.519231,14.519231,0,3,Men
W00076,IT · Milan,IT,Operations,L5,Operations L5,Cat F,340,Permanent,Onsite,1.0,2080,79400,9650,0,0,6000,15650,95050,38.173077,45.697115,1,4,Men
W00077,PL · Kraków,PL,Operations,L1,Operations L1,Cat B,190,Permanent,Hybrid,1.0,2080,21350,0,0,0,0,0,21350,10.264423,10.264423,0,1,Women
W00078,PL · Kraków,PL,Customer Service,L1,Customer Service L1,Cat B,175,Permanent,Hybrid,1.0,2080,20750,0,0,0,0,0,20750,9.975962,9.975962,0,1,Men
W00079,DE · Munich,DE,Operations,L4,Operations L4,Cat E,335,Permanent,Hybrid,1.0,2080,69000,5350,0,0,0,5350,74350,33.173077,35.745192,1,4,Women
W00081,IT · Milan,IT,HR,L2,HR L2,Cat B,185,Fixed-term,Hybrid,0.8,1664,26720,0,0,0,0,0,26720,16.057692,16.057692,0,2,Women
W00082,IT · Milan,IT,Customer Service,L5,Customer Service L5,Cat F,340,Permanent,Hybrid,1.0,2080,70850,10810,0,0,6000,16810,87660,34.0625,42.144231,1,4,Men
W00083,IT · Milan,IT,Customer Service,L2,Customer Service L2,Cat C,210,Permanent,Onsite,1.0,2080,27650,0,0,1320,0,1320,28970,13.293269,13.927885,1,2,Men
W00085,DE · Munich,DE,Customer Service,L3,Customer Service L3,Cat D,280,Permanent,Hybrid,0.8,1664,43960,2310,0,0,0,2310,46270,26.418269,27.80649,1,3,Women
W00086,DE · Munich,DE,Customer Service,L4,Customer Service L4,Cat E,320,Permanent,Onsite,1.0,2080,79200,3130,0,0,0,3130,82330,38.076923,39.581731,1,4,Women
W00088,IT · Milan,IT,Tech,L2,Tech L2,Cat B,185,Permanent,Hybrid,1.0,2080,38500,0,0,0,0,0,38500,18.509615,18.509615,0,3,Men
W00089,PL · Kraków,PL,Operations,L1,Operations L1,Cat B,190,Permanent,Hybrid,1.0,2080,21200,0,0,0,0,0,21200,10.192308,10.192308,0,1,Women
W00090,ES · Barcelona,ES,Operations,L1,Operations L1,Cat B,190,Fixed-term,Onsite,1.0,2080,19600,0,0,1200,0,1200,20800,9.423077,10.0,1,1,Men
